x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,landcover,landcover_class
499111.0391782957,5462113.187106774,1.2727566511234072,0.858930249613858,3.246190672258874,"(1.22,2.01]","(0.856,1.17]","(2.86,3.37]","(1.22,2.01] (0.856,1.17] (2.86,3.37]",40.265785217285156,1.3811841011047363,260.70672607421875,1,Evergreen needleleaf forest
497465.256013752,5404745.888228394,1.5062972750523471,1.6988063756580598,0.14355932413329311,"(1.22,2.01]","(1.48,1.79]","(-0.209,0.302]","(1.22,2.01] (1.48,1.79] (-0.209,0.302]",209.97177124023438,2.037874937057495,334.7625732421875,14,Urban and built-up
196522.04878290437,5408037.454557481,-0.5491640261202926,-0.03869132134069459,-0.023289996920815896,"(-1.15,-0.359]","(-0.0752,0.235]","(-0.209,0.302]","(-1.15,-0.359] (-0.0752,0.235] (-0.209,0.302]",29.10628890991211,0.546636700630188,257.2850036621094,7,Open shrublands
406476.9582025504,5397692.531808921,-0.16993412015890622,-1.4972253965206865,-0.28660721583626336,"(-0.359,0.431]","(-1.63,-1.32]","(-0.72,-0.209]","(-0.359,0.431] (-1.63,-1.32] (-0.72,-0.209]",94.57624053955078,1.0052509307861328,3.8176188468933105,7,Open shrublands
288685.90599735145,5373240.896221414,0.9726139310599634,1.859324064862734,-1.300479665416267,"(0.431,1.22]","(1.79,2.1]","(-1.74,-1.23]","(0.431,1.22] (1.79,2.1] (-1.74,-1.23]",36.05580520629883,0.6367347836494446,358.0780944824219,5,Mixed forest
295033.9267748771,5384291.154611923,-0.22878227490622258,0.27020886726811644,0.04411100524378821,"(-0.359,0.431]","(0.235,0.545]","(-0.209,0.302]","(-0.359,0.431] (0.235,0.545] (-0.209,0.302]",59.52100372314453,0.6705065965652466,318.2651672363281,7,Open shrublands
442919.2997031609,5379588.9169989405,1.0805354011250794,-0.7471329986105153,-0.10196563393488829,"(0.431,1.22]","(-1.01,-0.696]","(-0.209,0.302]","(0.431,1.22] (-1.01,-0.696] (-0.209,0.302]",224.23341369628906,1.533083200454712,161.15054321289062,7,Open shrublands
326538.91878185654,5423084.614919024,-0.9368932781714834,-0.9965801399185147,-0.1823188892354202,"(-1.15,-0.359]","(-1.01,-0.696]","(-0.209,0.302]","(-1.15,-0.359] (-1.01,-0.696] (-0.209,0.302]",17.74785614013672,0.34681883454322815,82.1241455078125,7,Open shrublands
251303.1169741446,5372770.672460116,0.34489678272413643,-0.36069720793575183,-0.2326230546881829,"(-0.359,0.431]","(-0.386,-0.0752]","(-0.72,-0.209]","(-0.359,0.431] (-0.386,-0.0752] (-0.72,-0.209]",46.72451400756836,1.9028595685958862,200.430419921875,7,Open shrublands
312902.42970420874,5422614.391157726,-0.26932888949367256,0.46482425614139644,0.05992215098063938,"(-0.359,0.431]","(0.235,0.545]","(-0.209,0.302]","(-0.359,0.431] (0.235,0.545] (-0.209,0.302]",42.198299407958984,0.7055739760398865,350.5113830566406,7,Open shrublands
379909.31568920217,5356783.064575978,0.8185659905034319,0.20916220268375724,0.22808679449318034,"(0.431,1.22]","(-0.0752,0.235]","(-0.209,0.302]","(0.431,1.22] (-0.0752,0.235] (-0.209,0.302]",257.8486328125,0.4953020215034485,341.23388671875,7,Open shrublands
452793.9986904231,5478335.906871563,0.33169434121755326,-1.179560363999597,0.4859816131817456,"(-0.359,0.431]","(-1.32,-1.01]","(0.302,0.813]","(-0.359,0.431] (-1.32,-1.01] (0.302,0.813]",18.973600387573242,0.2677607536315918,205.4518280029297,11,Tall grasslands
250832.8932128464,5385231.602134518,-0.5161915832679429,1.7871028513384772,0.22072508133276636,"(-1.15,-0.359]","(1.79,2.1]","(-0.209,0.302]","(-1.15,-0.359] (1.79,2.1] (-0.209,0.302]",44.01462936401367,0.35568463802337646,324.37286376953125,14,Urban and built-up
428342.3631029167,5432253.978264339,-0.36198358546645676,0.7968477104971423,0.10773482355168285,"(-1.15,-0.359]","(0.545,0.856]","(-0.209,0.302]","(-1.15,-0.359] (0.545,0.856] (-0.209,0.302]",39.53276824951172,0.7897564172744751,172.95779418945312,15,Cropland/Natural vegetation mosaic
320426.0098849799,5453649.159403407,-1.065301256304169,-0.17628093741144862,-0.010131654638169953,"(-1.15,-0.359]","(-0.386,-0.0752]","(-0.209,0.302]","(-1.15,-0.359] (-0.386,-0.0752] (-0.209,0.302]",1,0.03566998615860939,228.16175842285156,7,Open shrublands
382965.7701376404,5413680.13969306,0.4637867108453043,-0.04589984869735615,-3.4121575714055505,"(0.431,1.22]","(-0.0752,0.235]","(-3.79,-3.28]","(0.431,1.22] (-0.0752,0.235] (-3.79,-3.28]",64.88703155517578,0.374697744846344,65.70891571044922,4,Deciduous broadleaf forest
