x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,soiltemp,macroclimate,landcover,landcover_class
4390019.08128998,-2303581.74676982,-1.8342579817547033,-2.252473034580154,1.233075883906331,"(-3.19,-1.78]","(-3.47,-1.65]","(0.266,1.66]","(-3.19,-1.78] (-3.47,-1.65] (0.266,1.66]",1116.57421875,27.658348083496094,320.68646240234375,15.181446075439453,18.31727409362793,2,Evergreen Broadleaf forest
4362419.08128998,-2271381.74676982,-2.602672471218456,-1.6644603493610806,1.8529923141107607,"(-3.19,-1.78]","(-3.47,-1.65]","(1.66,3.06]","(-3.19,-1.78] (-3.47,-1.65] (1.66,3.06]",1454.568359375,19.298446655273438,245.0207977294922,16.754446029663086,17.24995994567871,11,Tall grasslands
4376619.08128998,-2286281.74676982,-1.842203807640026,-3.7825429586482335,-0.03975072894663786,"(-3.19,-1.78]","(-5.31,-3.47]","(-1.13,0.266]","(-3.19,-1.78] (-5.31,-3.47] (-1.13,0.266]",1280.545166015625,48.08888626098633,100.20388793945312,16.890079498291016,17.892122268676758,5,Mixed forest
4367919.08128998,-2272681.74676982,-2.8364618451645396,0.7505369563071379,-0.6014693069976349,"(-3.19,-1.78]","(0.18,2.01]","(-1.13,0.266]","(-3.19,-1.78] (0.18,2.01] (-1.13,0.266]",1492.896728515625,5.985360145568848,149.57138061523438,15.330789566040039,16.65020751953125,5,Mixed forest
4369819.08128998,-2273581.74676982,-2.0088910709661505,1.3968791032033023,-2.0405004893106415,"(-3.19,-1.78]","(0.18,2.01]","(-2.52,-1.13]","(-3.19,-1.78] (0.18,2.01] (-2.52,-1.13]",1348.7508544921875,10.085246086120605,62.30434036254883,16.236343383789062,17.12858772277832,13,Croplands
4365719.08128998,-2273081.74676982,-1.836943563969409,1.9804099105033839,-2.546874714891179,"(-3.19,-1.78]","(0.18,2.01]","(-3.92,-2.52]","(-3.19,-1.78] (0.18,2.01] (-3.92,-2.52]",1367.868408203125,3.0054264068603516,2.081430673599243,16.610610961914062,17.15739631652832,13,Croplands
4374419.08128998,-2275081.74676982,-2.0979778993254588,0.9131971493564774,0.31053468584062915,"(-3.19,-1.78]","(0.18,2.01]","(0.266,1.66]","(-3.19,-1.78] (0.18,2.01] (0.266,1.66]",1272.9710693359375,7.522409915924072,281.4835205078125,15.64533805847168,17.4735050201416,5,Mixed forest
4364819.08128998,-2279081.74676982,-1.8073209141520459,1.1008517342327249,1.912288696900039,"(-3.19,-1.78]","(0.18,2.01]","(1.66,3.06]","(-3.19,-1.78] (0.18,2.01] (1.66,3.06]",1318.4373779296875,4.498096466064453,244.1595001220703,15.742664337158203,17.470670700073242,4,Deciduous broadleaf forest
4379519.08128998,-2277281.74676982,-1.7905750898708956,2.762514876985811,-0.3250720034260887,"(-3.19,-1.78]","(2.01,3.84]","(-1.13,0.266]","(-3.19,-1.78] (2.01,3.84] (-1.13,0.266]",1235.6549072265625,4.733313083648682,349.7255859375,15.852754592895508,17.643571853637695,13,Croplands
4371719.08128998,-2272481.74676982,-1.858198050152689,2.624295183893082,-1.6108301926645114,"(-3.19,-1.78]","(2.01,3.84]","(-2.52,-1.13]","(-3.19,-1.78] (2.01,3.84] (-2.52,-1.13]",1327.1822509765625,1.116086483001709,157.4444122314453,16.32918357849121,17.2503604888916,13,Croplands
4381219.08128998,-2274981.74676982,-1.8741530233751986,2.143549099522871,-2.8526614629560147,"(-3.19,-1.78]","(2.01,3.84]","(-3.92,-2.52]","(-3.19,-1.78] (2.01,3.84] (-3.92,-2.52]",1230.572509765625,10.639649391174316,222.93218994140625,15.89857292175293,17.674575805664062,16,Barren or sparsely vegetated
4404319.08128998,-2286581.74676982,1.5278778599937768,-0.2975914160168421,0.2423815086821815,"(1.04,2.44]","(-1.65,0.18]","(-1.13,0.266]","(1.04,2.44] (-1.65,0.18] (-1.13,0.266]",607.96917724609375,5.542171478271484,197.56918334960938,19.31825828552246,20.873558044433594,2,Evergreen Broadleaf forest
4393819.08128998,-2295581.74676982,2.39376564302263,-0.3659495423420402,-1.3323947978947932,"(1.04,2.44]","(-1.65,0.18]","(-2.52,-1.13]","(1.04,2.44] (-1.65,0.18] (-2.52,-1.13]",629.180908203125,4.492737770080566,2.310621976852417,19.372087478637695,20.547582626342773,15,Cropland/Natural vegetation mosaic
4392219.08128998,-2297981.74676982,1.5613545440446173,-0.6636226773489603,0.40707017862233524,"(1.04,2.44]","(-1.65,0.18]","(0.266,1.66]","(1.04,2.44] (-1.65,0.18] (0.266,1.66]",566.12579345703125,9.575034141540527,211.58909606933594,19.520002365112305,20.719268798828125,2,Evergreen Broadleaf forest
4405519.08128998,-2273681.74676982,2.0911810535777486,-1.1511356730809899,1.7071732294403774,"(1.04,2.44]","(-1.65,0.18]","(1.66,3.06]","(1.04,2.44] (-1.65,0.18] (1.66,3.06]",569.68011474609375,21.56456184387207,117.63381958007812,20.034854888916016,21.028371810913086,4,Deciduous broadleaf forest
4396519.08128998,-2279381.74676982,1.1270349731219966,-1.9715136221177836,-1.0051914409246236,"(1.04,2.44]","(-3.47,-1.65]","(-1.13,0.266]","(1.04,2.44] (-3.47,-1.65] (-1.13,0.266]",821.4478759765625,20.595861434936523,18.35152816772461,18.143571853637695,19.471782684326172,15,Cropland/Natural vegetation mosaic
4392619.08128998,-2274381.74676982,1.1834341600315634,-1.7438795984846307,-1.1302126731312212,"(1.04,2.44]","(-3.47,-1.65]","(-2.52,-1.13]","(1.04,2.44] (-3.47,-1.65] (-2.52,-1.13]",853.7093505859375,18.54269027709961,5.618590831756592,18.574527740478516,19.376466751098633,15,Cropland/Natural vegetation mosaic
