x,y,Dim.1,Dim.2,Dim.3,dim1_bin,dim2_bin,dim3_bin,bin_string,elevation,slope,aspect,soiltemp,landcover,landcover_class
9761438.36062736,-336118.177723256,-1.2021842726416125,5.221590630336797,4.809061712404945,"(-1.43,1.26]","(2.97,6.94]","(3.86,5.28]","(-1.43,1.26] (2.97,6.94] (3.86,5.28]",41.25059127807617,0.7384157180786133,95.98707580566406,25.487348556518555,7,Open shrublands
9695438.36062736,-354418.177723256,3.5482066078076384,-0.6251279536198128,0.10961003122526879,"(1.26,3.94]","(-0.988,2.97]","(-0.395,1.03]","(1.26,3.94] (-0.988,2.97] (-0.395,1.03]",734.88677978515625,6.008944511413574,67.69283294677734,20.151018142700195,2,Evergreen Broadleaf forest
9692638.36062736,-351718.177723256,3.854978424886965,-0.7400351523436732,0.11356613208859012,"(1.26,3.94]","(-0.988,2.97]","(-0.395,1.03]","(1.26,3.94] (-0.988,2.97] (-0.395,1.03]",800.729736328125,3.8602991104125977,52.869895935058594,18.996326446533203,2,Evergreen Broadleaf forest
9699238.36062736,-343318.177723256,2.068022870107098,-0.36074837972592183,-0.33399919996344996,"(1.26,3.94]","(-0.988,2.97]","(-0.395,1.03]","(1.26,3.94] (-0.988,2.97] (-0.395,1.03]",305.82244873046875,21.835098266601562,103.255615234375,22.874385833740234,15,Cropland/Natural vegetation mosaic
9693338.36062736,-343018.177723256,3.1254806073650343,0.5989726751972378,0.10305538452161273,"(1.26,3.94]","(-0.988,2.97]","(-0.395,1.03]","(1.26,3.94] (-0.988,2.97] (-0.395,1.03]",382.78338623046875,13.23747730255127,248.3524932861328,20.809741973876953,2,Evergreen Broadleaf forest
9697638.36062736,-357818.177723256,1.4768947458951052,-0.8630538089203645,-0.28879207967786397,"(1.26,3.94]","(-0.988,2.97]","(-0.395,1.03]","(1.26,3.94] (-0.988,2.97] (-0.395,1.03]",533.110595703125,4.223701000213623,45.85394287109375,21.650815963745117,15,Cropland/Natural vegetation mosaic
9688338.36062736,-344718.177723256,2.7826680050213897,0.2615362687309164,0.08215082748616004,"(1.26,3.94]","(-0.988,2.97]","(-0.395,1.03]","(1.26,3.94] (-0.988,2.97] (-0.395,1.03]",304.91558837890625,15.737435340881348,191.93801879882812,22.173086166381836,2,Evergreen Broadleaf forest
9688838.36062736,-333418.177723256,3.8073098535360375,-0.5634255829474584,0.07962532827830619,"(1.26,3.94]","(-0.988,2.97]","(-0.395,1.03]","(1.26,3.94] (-0.988,2.97] (-0.395,1.03]",560.4415283203125,11.4483003616333,70.299072265625,19.490013122558594,2,Evergreen Broadleaf forest
9688438.36062736,-369618.177723256,2.9424667725433826,-0.24843785374304617,4.686832441296267,"(1.26,3.94]","(-0.988,2.97]","(3.86,5.28]","(1.26,3.94] (-0.988,2.97] (3.86,5.28]",1040.7589111328125,2.3761656284332275,318.7560729980469,19.328798294067383,13,Croplands
9686538.36062736,-369818.177723256,3.1332973173382572,-0.5591535224589091,4.6569164261027325,"(1.26,3.94]","(-0.988,2.97]","(3.86,5.28]","(1.26,3.94] (-0.988,2.97] (3.86,5.28]",967.0380859375,7.598165988922119,263.8827209472656,19.666160583496094,13,Croplands
9688738.36062736,-369518.177723256,3.0521120260921832,-0.354195035235158,4.6835652951347635,"(1.26,3.94]","(-0.988,2.97]","(3.86,5.28]","(1.26,3.94] (-0.988,2.97] (3.86,5.28]",1063.463134765625,3.0278096199035645,301.693115234375,19.328798294067383,13,Croplands
9690438.36062736,-369518.177723256,2.9499440916587045,-0.11565520085337033,4.701897455556789,"(1.26,3.94]","(-0.988,2.97]","(3.86,5.28]","(1.26,3.94] (-0.988,2.97] (3.86,5.28]",1100.67919921875,0.15874828398227692,342.4311828613281,19.098058700561523,13,Croplands
9689738.36062736,-369518.177723256,3.41633902402374,-0.29409141321373666,4.682027094329838,"(1.26,3.94]","(-0.988,2.97]","(3.86,5.28]","(1.26,3.94] (-0.988,2.97] (3.86,5.28]",1107.5406494140625,5.814905166625977,308.4449157714844,19.201866149902344,13,Croplands
9690338.36062736,-369618.177723256,2.9640562202646334,-0.17216824030366792,4.699575672675951,"(1.26,3.94]","(-0.988,2.97]","(3.86,5.28]","(1.26,3.94] (-0.988,2.97] (3.86,5.28]",1100.5594482421875,0.2981921136379242,333.4454650878906,19.098058700561523,13,Croplands
9691038.36062736,-369518.177723256,3.269640190057312,-0.7545119228747612,4.672427566577198,"(1.26,3.94]","(-0.988,2.97]","(3.86,5.28]","(1.26,3.94] (-0.988,2.97] (3.86,5.28]",1099.1978759765625,2.6043219566345215,239.99163818359375,18.796066284179688,13,Croplands
9687738.36062736,-369518.177723256,2.9489470944516714,-11.52480983509784,6.683341862295974,"(1.26,3.94]","(-12.9,-8.9]","(5.28,6.7]","(1.26,3.94] (-12.9,-8.9] (5.28,6.7]",1021.5026245117188,2.447272539138794,214.16644287109375,19.45466423034668,14,Urban and built-up
9687838.36062736,-369618.177723256,2.893607290841704,-11.29765868223934,6.692584167900027,"(1.26,3.94]","(-12.9,-8.9]","(5.28,6.7]","(1.26,3.94] (-12.9,-8.9] (5.28,6.7]",1021.6891479492188,1.9111090898513794,250.2554931640625,19.45466423034668,14,Urban and built-up
9687838.36062736,-369418.177723256,2.8728746622073595,-11.259295118707898,6.695265110706444,"(1.26,3.94]","(-12.9,-8.9]","(5.28,6.7]","(1.26,3.94] (-12.9,-8.9] (5.28,6.7]",1026.5235595703125,1.5576295852661133,256.67169189453125,19.45466423034668,14,Urban and built-up
9687838.36062736,-369518.177723256,2.9488880681053655,-11.449419943619908,6.686272616885925,"(1.26,3.94]","(-12.9,-8.9]","(5.28,6.7]","(1.26,3.94] (-12.9,-8.9] (5.28,6.7]",1024.266357421875,2.417031764984131,226.00503540039062,19.45466423034668,14,Urban and built-up
9687738.36062736,-369618.177723256,2.908772891699111,-11.333524990605081,6.69034808158933,"(1.26,3.94]","(-12.9,-8.9]","(5.28,6.7]","(1.26,3.94] (-12.9,-8.9] (5.28,6.7]",1018.043212890625,2.1680755615234375,244.3431396484375,19.45466423034668,14,Urban and built-up
9697138.36062736,-362018.177723256,2.494978749791868,-1.0147350408422782,-0.3061450448162885,"(1.26,3.94]","(-4.94,-0.988]","(-0.395,1.03]","(1.26,3.94] (-4.94,-0.988] (-0.395,1.03]",623.04766845703125,11.03989315032959,15.683523178100586,20.81626319885254,15,Cropland/Natural vegetation mosaic
9694038.36062736,-342018.177723256,2.166685015526417,-0.9919782131861163,0.06186723673927091,"(1.26,3.94]","(-4.94,-0.988]","(-0.395,1.03]","(1.26,3.94] (-4.94,-0.988] (-0.395,1.03]",328.81787109375,8.115111351013184,4.334184646606445,22.488893508911133,2,Evergreen Broadleaf forest
9697538.36062736,-366818.177723256,2.091307714506741,-1.0810583775078852,-0.3109062565555126,"(1.26,3.94]","(-4.94,-0.988]","(-0.395,1.03]","(1.26,3.94] (-4.94,-0.988] (-0.395,1.03]",549.46148681640625,10.105659484863281,5.609442710876465,21.38889503479004,15,Cropland/Natural vegetation mosaic
9702238.36062736,-368718.177723256,1.3764856246747643,-1.0437103608940341,-0.30273903020616294,"(1.26,3.94]","(-4.94,-0.988]","(-0.395,1.03]","(1.26,3.94] (-4.94,-0.988] (-0.395,1.03]",475.207763671875,5.550389766693115,15.650787353515625,21.968324661254883,15,Cropland/Natural vegetation mosaic
9700338.36062736,-349318.177723256,1.914330537882256,-1.0076598301141002,0.07620819970991964,"(1.26,3.94]","(-4.94,-0.988]","(-0.395,1.03]","(1.26,3.94] (-4.94,-0.988] (-0.395,1.03]",378.8778381347656,4.338849067687988,6.305834770202637,22.653472900390625,2,Evergreen Broadleaf forest
9701638.36062736,-370118.177723256,1.421269259450785,-1.079452071928768,-0.29299070891959755,"(1.26,3.94]","(-4.94,-0.988]","(-0.395,1.03]","(1.26,3.94] (-4.94,-0.988] (-0.395,1.03]",542.132080078125,3.3288516998291016,13.053695678710938,21.689098358154297,15,Cropland/Natural vegetation mosaic
9698838.36062736,-349518.177723256,2.307931419474769,-1.007376440343636,0.06904681324131472,"(1.26,3.94]","(-4.94,-0.988]","(-0.395,1.03]","(1.26,3.94] (-4.94,-0.988] (-0.395,1.03]",409.15911865234375,8.125158309936523,2.495706558227539,22.618074417114258,2,Evergreen Broadleaf forest
9690638.36062736,-369718.177723256,3.0625891525594855,-1.4219454330576369,4.655254533119485,"(1.26,3.94]","(-4.94,-0.988]","(3.86,5.28]","(1.26,3.94] (-4.94,-0.988] (3.86,5.28]",1100.4102783203125,0.7615196108818054,137.58123779296875,19.098058700561523,13,Croplands
9691338.36062736,-369218.177723256,3.1584086565691347,-2.278425873124758,4.621741666727386,"(1.26,3.94]","(-4.94,-0.988]","(3.86,5.28]","(1.26,3.94] (-4.94,-0.988] (3.86,5.28]",1075.0762939453125,1.0332252979278564,3.2923355102539062,18.796066284179688,13,Croplands
9695938.36062736,-369818.177723256,2.091878188712368,-1.6553965572322114,4.610587605442851,"(1.26,3.94]","(-4.94,-0.988]","(3.86,5.28]","(1.26,3.94] (-4.94,-0.988] (3.86,5.28]",749.78363037109375,4.868692398071289,93.45317077636719,20.996763229370117,13,Croplands
9690538.36062736,-369118.177723256,3.404515321637736,-2.121736325902543,4.6211486094780225,"(1.26,3.94]","(-4.94,-0.988]","(3.86,5.28]","(1.26,3.94] (-4.94,-0.988] (3.86,5.28]",1091.012939453125,4.046168327331543,24.617515563964844,18.910926818847656,13,Croplands
9696038.36062736,-369718.177723256,2.1157768142576776,-1.6171814644554934,4.6097682615462325,"(1.26,3.94]","(-4.94,-0.988]","(3.86,5.28]","(1.26,3.94] (-4.94,-0.988] (3.86,5.28]",741.396728515625,5.3978471755981445,98.79036712646484,20.996763229370117,13,Croplands
9690338.36062736,-369918.177723256,3.11477584046688,-2.0736923700057797,4.632544658123757,"(1.26,3.94]","(-4.94,-0.988]","(3.86,5.28]","(1.26,3.94] (-4.94,-0.988] (3.86,5.28]",1103.0140380859375,0.9419891238212585,35.52655029296875,19.098058700561523,13,Croplands
9696238.36062736,-369918.177723256,2.0773291944793786,-1.6434182797319086,4.605953582706101,"(1.26,3.94]","(-4.94,-0.988]","(3.86,5.28]","(1.26,3.94] (-4.94,-0.988] (3.86,5.28]",715.4521484375,5.607394695281982,94.26407623291016,20.996763229370117,13,Croplands
9696638.36062736,-353518.177723256,2.1127444025874444,4.683589217255982,4.800189793032048,"(1.26,3.94]","(2.97,6.94]","(3.86,5.28]","(1.26,3.94] (2.97,6.94] (3.86,5.28]",584.41046142578125,10.878485679626465,6.226805686950684,21.210124969482422,7,Open shrublands
9696438.36062736,-353518.177723256,1.7440594688634672,4.862905865995236,4.821231674386879,"(1.26,3.94]","(2.97,6.94]","(3.86,5.28]","(1.26,3.94] (2.97,6.94] (3.86,5.28]",607.49932861328125,5.962318420410156,39.75126266479492,21.210124969482422,7,Open shrublands
9696638.36062736,-353618.177723256,2.5959127037939407,4.679863087108842,4.791231266269413,"(1.26,3.94]","(2.97,6.94]","(3.86,5.28]","(1.26,3.94] (2.97,6.94] (3.86,5.28]",622.9676513671875,15.638598442077637,0.7903195023536682,21.210124969482422,7,Open shrublands
9696438.36062736,-353618.177723256,2.4968631748191816,4.712356887736873,4.7969015155705055,"(1.26,3.94]","(2.97,6.94]","(3.86,5.28]","(1.26,3.94] (2.97,6.94] (3.86,5.28]",632.51971435546875,14.22044849395752,7.476651668548584,21.210124969482422,7,Open shrublands
9696638.36062736,-353718.177723256,1.8936678332329673,4.766083618755195,4.8197142569827,"(1.26,3.94]","(2.97,6.94]","(3.86,5.28]","(1.26,3.94] (2.97,6.94] (3.86,5.28]",647.083984375,6.651744842529297,24.17318344116211,21.210124969482422,7,Open shrublands
9695238.36062736,-363618.177723256,4.8376457762079745,-0.21743976253421657,0.11561917754883216,"(3.94,6.62]","(-0.988,2.97]","(-0.395,1.03]","(3.94,6.62] (-0.988,2.97] (-0.395,1.03]",908.63092041015625,14.214909553527832,124.09650421142578,19.32601547241211,2,Evergreen Broadleaf forest
9697538.36062736,-330118.177723256,6.57308252632081,0.1344061883076946,0.03338224979367904,"(3.94,6.62]","(-0.988,2.97]","(-0.395,1.03]","(3.94,6.62] (-0.988,2.97] (-0.395,1.03]",655.93743896484375,41.64366149902344,147.51113891601562,19.268447875976562,2,Evergreen Broadleaf forest
9694338.36062736,-368418.177723256,5.325883856249607,0.7017616126719839,0.1507948538247908,"(3.94,6.62]","(-0.988,2.97]","(-0.395,1.03]","(3.94,6.62] (-0.988,2.97] (-0.395,1.03]",1027.6961669921875,16.857505798339844,265.8810119628906,19.157739639282227,2,Evergreen Broadleaf forest
9688838.36062736,-353118.177723256,5.842703372658002,1.0120018764748935,0.1754217417410197,"(3.94,6.62]","(-0.988,2.97]","(-0.395,1.03]","(3.94,6.62] (-0.988,2.97] (-0.395,1.03]",1137.2158203125,12.636736869812012,320.3766174316406,16.945528030395508,2,Evergreen Broadleaf forest
9693638.36062736,-368918.177723256,3.9852003884100844,-0.5340382603426436,-0.2698609781507615,"(3.94,6.62]","(-0.988,2.97]","(-0.395,1.03]","(3.94,6.62] (-0.988,2.97] (-0.395,1.03]",976.7120361328125,13.748888969421387,91.06896209716797,19.072784423828125,15,Cropland/Natural vegetation mosaic
9689538.36062736,-338818.177723256,5.309550148743653,-0.13008707380554754,0.029186688528794694,"(3.94,6.62]","(-0.988,2.97]","(-0.395,1.03]","(3.94,6.62] (-0.988,2.97] (-0.395,1.03]",485.40509033203125,35.30284118652344,111.3775634765625,20.541425704956055,2,Evergreen Broadleaf forest
9694338.36062736,-370018.177723256,4.89069947461438,-0.2768498368832793,0.10885746037106712,"(3.94,6.62]","(-0.988,2.97]","(-0.395,1.03]","(3.94,6.62] (-0.988,2.97] (-0.395,1.03]",905.1865234375,16.454814910888672,112.2403564453125,19.771404266357422,2,Evergreen Broadleaf forest
9691638.36062736,-368618.177723256,4.24025963102042,-0.6151686208050708,4.656922021096155,"(3.94,6.62]","(-0.988,2.97]","(3.86,5.28]","(3.94,6.62] (-0.988,2.97] (3.86,5.28]",1158.9146728515625,12.435318946838379,251.6182403564453,18.714391708374023,13,Croplands
9691738.36062736,-369118.177723256,4.494176288533007,-0.530952238255885,4.646676305816961,"(3.94,6.62]","(-0.988,2.97]","(3.86,5.28]","(3.94,6.62] (-0.988,2.97] (3.86,5.28]",1126.6756591796875,16.371734619140625,260.27838134765625,18.714391708374023,13,Croplands
9691638.36062736,-368718.177723256,4.791487702849836,-0.5627324702322298,4.638094830604606,"(3.94,6.62]","(-0.988,2.97]","(3.86,5.28]","(3.94,6.62] (-0.988,2.97] (3.86,5.28]",1137.272216796875,19.630252838134766,251.8669891357422,18.714391708374023,13,Croplands
9691638.36062736,-369118.177723256,4.264661797137962,-0.5012984996887544,4.648080083004751,"(3.94,6.62]","(-0.988,2.97]","(3.86,5.28]","(3.94,6.62] (-0.988,2.97] (3.86,5.28]",1084.7332763671875,14.750035285949707,266.34722900390625,18.714391708374023,13,Croplands
9691638.36062736,-369018.177723256,4.595330608043469,-0.5862548889089004,4.63610542403323,"(3.94,6.62]","(-0.988,2.97]","(3.86,5.28]","(3.94,6.62] (-0.988,2.97] (3.86,5.28]",1091.54931640625,18.476716995239258,249.0881805419922,18.714391708374023,13,Croplands
9695338.36062736,-363418.177723256,4.420597969331832,-0.9895881146148404,0.09809870247909128,"(3.94,6.62]","(-4.94,-0.988]","(-0.395,1.03]","(3.94,6.62] (-4.94,-0.988] (-0.395,1.03]",897.08978271484375,10.951569557189941,6.6931233406066895,19.862459182739258,2,Evergreen Broadleaf forest
9695038.36062736,-361718.177723256,4.268412510782834,-1.0086967238729132,0.08574015628407103,"(3.94,6.62]","(-4.94,-0.988]","(-0.395,1.03]","(3.94,6.62] (-4.94,-0.988] (-0.395,1.03]",809.52435302734375,12.899160385131836,0.8160362243652344,20.284835815429688,2,Evergreen Broadleaf forest
9694038.36062736,-354718.177723256,4.572812221287395,-0.9923897642522183,0.08823766418311217,"(3.94,6.62]","(-4.94,-0.988]","(-0.395,1.03]","(3.94,6.62] (-4.94,-0.988] (-0.395,1.03]",847.23126220703125,12.354546546936035,4.490817546844482,19.36440658569336,2,Evergreen Broadleaf forest
